unidad,sector,periodo,moneda,ingresos_mill,ebitda_mill,utilidad_neta_mill,activos_mill,patrimonio_mill,deuda_mill,caja_mill,activo_corriente_mill,pasivo_corriente_mill
U01,Manufactura,2023Q1,COP,39585.38,5268.6,2180.31,86035.3,45856.46,30503.51,5207.32,25233.82,17492.3
U01,Manufactura,2023Q2,COP,42860.6,5310.01,2827.18,85739.68,51764.83,27656.13,5489.17,24835.24,17215.99
U01,Manufactura,2023Q3,COP,47139.03,6518.16,2892.84,86200.84,47396.96,30873.64,4352.8,23737.98,17101.27
U01,Manufactura,2023Q4,COP,48983.87,5541.52,2732.67,88069.74,47970.66,32707.56,5914.37,23499.64,16511.51
U01,Manufactura,2024Q1,COP,44793.18,5851.78,2534.22,91144.27,53232.51,31803.17,7129.77,24733.68,18544.79
U01,Manufactura,2024Q2,COP,47008.83,6241.14,3151.52,90705.04,50096.64,30772.57,6313.15,28029.72,21533.26
U01,Manufactura,2024Q3,COP,48886.95,6539.82,3050.17,92466.93,53159.07,33034.93,6425.01,25271.38,19034.94
U01,Manufactura,2024Q4,COP,52501.92,7562.03,3312.6,91041.98,47852.85,32716.53,4299.9,25392.67,17889.51
U01,Manufactura,2025Q1,COP,44860.88,6038.4,2662.1,92645.19,53499.42,32460.83,7309.13,25859.4,17505.83
U01,Manufactura,2025Q2,COP,51896.09,7028.73,3029.06,94613.11,49797.23,34656.1,5907.44,27095.22,18980.49
U01,Manufactura,2025Q3,COP,50649.67,7067.26,3511.37,96093.78,53086.27,34842.02,7210.32,27019.67,21144.85
U01,Manufactura,2025Q4,COP,56319.76,6732.78,2950.59,95969.37,56257.46,33747.76,7505.94,23098.54,15540.9
U02,Manufactura,2023Q1,COP,50402.75,7571.27,3173.11,100615.23,54733.86,40725.94,6678.21,26512.31,18398.31
U02,Manufactura,2023Q2,COP,52576.33,7471.02,3079.99,105467.67,53935.37,41092.88,8793.42,30607.51,21495.54
U02,Manufactura,2023Q3,COP,53788.78,8038.24,3713.37,103422.59,53895.1,41269.74,7586.34,26635.45,20249.23
U02,Manufactura,2023Q4,COP,60316.84,8603.15,3686.17,106700.25,54058.81,42259.07,6925.63,30109.58,23431.37
U02,Manufactura,2024Q1,COP,50549.78,7500.9,3735.38,108729.35,55768.71,43632.87,6646.96,31291.09,22030.63
U02,Manufactura,2024Q2,COP,56487.86,8867.1,4486.69,105770.99,51788.43,43674.25,7603.68,32002.94,23955.03
U02,Manufactura,2024Q3,COP,58221.07,8429.81,3587.52,110562.36,56043.97,43491.31,7283.18,30848.97,22286.94
U02,Manufactura,2024Q4,COP,64323.9,10094.38,,111548.04,55781.41,43613.02,8086.25,29276.94,20699.74
U02,Manufactura,2025Q1,COP,55340.09,8186.49,3797.15,113365.3,58817.5,45384.49,9195.67,32165.4,21408.88
U02,Manufactura,2025Q2,COP,61481.83,9739.25,4264.1,115546.16,61671.71,45071.92,9179.27,30328.25,22242.88
U02,Manufactura,2025Q3,COP,61001.47,8580.54,4164.15,113707.93,57968.18,45235.32,6966.22,29550.28,22644.6
U02,Manufactura,2025Q4,COP,68407.32,10271.59,5455.25,118743.05,61582.17,46622.0,10160.2,33482.82,24240.36
U03,Retail,2023Q1,COP,53397.07,8271.67,3632.96,114800.14,57673.39,51206.98,6262.97,34433.09,25817.23
U03,Retail,2023Q2,COP,60333.68,9066.82,3778.14,116603.75,56774.67,49696.82,7809.74,31984.03,22315.14
U03,Retail,2023Q3,COP,60674.32,10072.05,4853.22,120481.58,61192.81,52808.63,9575.36,34250.15,24643.55
U03,Retail,2023Q4,COP,67564.95,10839.38,5112.19,120508.68,56204.01,51107.09,8554.74,29369.44,21187.04
