id_empresa,periodo,moneda,activos,pasivos,patrimonio,activos_corrientes,pasivos_corrientes,ingresos,utilidad_neta
E001,2026-Q1,COP,923,364.6,558.4,396.9,204.2,433,32.5
E001,2026-Q2,COP,951,375.6,575.4,418.4,214.1,468,35.1
E001,2026-Q3,COP,979,386.7,592.3,440.5,224.3,503,37.7
E001,2026-Q4,COP,1007,397.8,609.2,463.2,234.7,538,40.4
E002,2026-Q1,COP,1018,417.4,600.6,437.7,233.7,481,38.5
E002,2026-Q2,COP,1046,428.9,617.1,460.2,244.5,516,41.3
E002,2026-Q3,COP,1074,440.3,633.7,483.3,255.4,551,44.1
E002,2026-Q4,COP,1102,451.8,675.2,506.9,266.6,586,46.9
E003,2026-Q1,USD,1113,473,640,478.6,264.9,529,45
E003,2026-Q2,USD,1141,484.9,656.1,502,276.4,564,47.9
E003,2026-Q3,USD,1169,496.8,672.2,526,288.1,599,50.9
E003,2026-Q4,USD,1197,508.7,688.3,550.6,300.1,634,53.9
E004,2026-Q1,USD,1208,531.5,676.5,519.4,297.6,577,51.9
e004,2026-Q2,USD,1236,543.8,692.2,543.8,310,612,55.1
E004,2026-Q3,USD,1264,556.2,707.8,568.8,322.6,647,58.2
E004,2026-Q4,USD,1292,568.5,723.5,594.3,335.4,682,61.4
E005,2026-Q1,COP,1303,592.9,710.1,560.3,332,625,59.4
E005,2026-Q2,COP,1331,605.6,725.4,585.6,345.2,660,62.7
E005,2026T3,COP,1359,618.3,740.7,611.5,358.6,695,66
E005,2026-Q4,COP,1387,631.1,755.9,638,372.3,730,69.3
E006,2026-Q1,USD,1398,657.1,740.9,601.1,368,673,67.3
E006,2026-Q2,USD,1426,670.2,755.8,627.4,382,708,70.8
E006,2026-Q3,USD,1454,683.4,770.6,654.3,396.4,743,74.3
E006,2026-Q4,USD,1482,696.5,785.5,681.7,410.9,778,77.8
E007,2026-Q1,COP,1493,724.1,768.9,1543,405.5,721,75.7
E007,2026-Q2,COP,1521,737.7,783.3,669.2,420.5,756,79.4
E007,2026-Q3,COP,1549,751.3,797.7,697,435.8,791,83.1
E007,2026-Q4,COP,1577,764.8,812.2,725.4,451.2,826,86.7
E008,2026-Q1,COP,1588,794,794,682.8,444.6,769,84.6
E008,2026-Q2,COP,1616,808,808,711,460.6,804,
E008,2026-Q3,COP,1644,822,822,739.8,476.8,839,92.3
E008,2026-Q4,COP,1672,836,836,769.1,493.2,874,96.1
E002,2026-Q2,COP,1046,428.9,617.1,460.2,244.5,516,41.3
